branche,day,movies,genres,screen,seats,visitors_adults,visitors_children,total_revenue_adults,total_revenue_children,snacks_revenue,total_revenue
branch 1,1,Hunter Killer,action,1,55,45,2,675,20,770,1465
branch 1,1,Hunter Killer,action,2,55,33,20,495,200,850,1545
branch 1,1,Moonlight,drama,1,72,13,0,195,0,190,385
branch 1,1,Moonlight,drama,2,72,72,0,1080,0,1195,2275
branch 1,1,Dangal,drama,1,150,91,3,1365,30,1495,2890
branch 1,1,Dangal,drama,2,150,34,83,510,830,1775,3115
branch 1,1,Pitch Perfect,comedy,1,150,17,0,255,0,320,575
branch 1,1,Pitch Perfect,comedy,2,150,119,0,1785,0,1645,3430
branch 1,1,La Mission,action,1,250,101,106,1515,1060,3175,5750
branch 1,1,La Mission,action,2,250,38,7,570,70,665,1305
branch 1,2,Hunter Killer,action,1,55,15,8,225,80,355,660
branch 1,2,Hunter Killer,action,2,55,50,1,750,10,695,1455
branch 1,2,Moonlight,drama,1,72,35,0,525,0,670,1195
branch 1,2,Moonlight,drama,2,72,5,0,75,0,80,155
branch 1,2,Dangal,drama,1,150,77,46,1155,460,2035,3650
branch 1,2,Dangal,drama,2,150,134,3,2010,30,2160,4200
branch 1,2,Pitch Perfect,comedy,1,150,48,0,720,0,780,1500
branch 1,2,Pitch Perfect,comedy,2,150,38,0,570,0,600,1170
branch 1,2,La Mission,action,1,250,4,146,60,1460,2465,3985
branch 1,2,La Mission,action,2,250,235,6,3525,60,3960,7545
branch 1,3,Hunter Killer,action,1,55,7,6,105,60,220,385
branch 1,3,Hunter Killer,action,2,55,53,1,795,10,735,1540
branch 1,3,Moonlight,drama,1,72,20,0,300,0,340,640
branch 1,3,Moonlight,drama,2,72,54,0,810,0,850,1660
branch 1,3,Dangal,drama,1,150,12,135,180,1350,2510,4040
branch 1,3,Dangal,drama,2,150,118,14,1770,140,2140,4050
branch 1,3,Pitch Perfect,comedy,1,150,1,0,15,0,10,25
branch 1,3,Pitch Perfect,comedy,2,150,45,0,675,0,685,1360
branch 1,3,La Mission,action,1,250,232,4,3480,40,3920,7440
branch 1,3,La Mission,action,2,250,77,170,1155,1700,3845,6700
branch 1,4,Hunter Killer,action,1,55,2,24,30,240,435,705
branch 1,4,Hunter Killer,action,2,55,15,17,225,170,515,910
branch 1,4,Moonlight,drama,1,72,66,0,990,0,1050,2040
branch 1,4,Moonlight,drama,2,72,6,0,90,0,105,195
branch 1,4,Dangal,drama,1,150,110,29,1650,290,2280,4220
branch 1,4,Dangal,drama,2,150,81,14,1215,140,1555,2910
branch 1,4,Pitch Perfect,comedy,1,150,1,0,15,0,15,30
branch 1,4,Pitch Perfect,comedy,2,150,79,0,1185,0,1340,2525
branch 1,4,La Mission,action,1,250,131,34,1965,340,2645,4950
branch 1,4,La Mission,action,2,250,1,116,15,1160,2055,3230
branch 1,5,Hunter Killer,action,1,55,40,9,600,90,905,1595
branch 1,5,Hunter Killer,action,2,55,12,29,180,290,715,1185
branch 1,5,Moonlight,drama,1,72,67,0,1005,0,1060,2065
branch 1,5,Moonlight,drama,2,72,54,0,810,0,915,1725
branch 1,5,Dangal,drama,1,150,56,17,840,170,1090,2100
branch 1,5,Dangal,drama,2,150,13,130,195,1300,2200,3695
branch 1,5,Pitch Perfect,comedy,1,150,28,0,420,0,445,865
branch 1,5,Pitch Perfect,comedy,2,150,81,0,1215,0,1165,2380
branch 1,5,La Mission,action,1,250,94,14,1410,140,1795,3345
branch 1,5,La Mission,action,2,250,99,136,1485,1360,3895,6740
branch 1,6,Hunter Killer,action,1,55,51,3,765,30,775,1570
branch 1,6,Hunter Killer,action,2,55,35,11,525,110,750,1385
branch 1,6,Moonlight,drama,1,72,65,0,975,0,1010,1985
branch 1,6,Moonlight,drama,2,72,46,0,690,0,715,1405
branch 1,6,Dangal,drama,1,150,43,55,645,550,1625,2820
branch 1,6,Dangal,drama,2,150,69,79,1035,790,2280,4105
branch 1,6,Pitch Perfect,comedy,1,150,120,0,1800,0,1865,3665
branch 1,6,Pitch Perfect,comedy,2,150,34,0,510,0,525,1035
